n,title,author,rating,num_ratings,num_reviews,descrip,binding,edition,pages,published_on,genres
100225,"
      Bob Marshall in the Adirondacks: Writings of a Pioneering Peak-Bagger, Pond-Hopper, and Wilderness Preservationist
",Phil Brown,"
  4.46
","

  13
  ratings
","

    2
    reviews
",,Hardcover,,334 pages,"
            Published
        October 1st 2006
         by Lost Pond Pr

      ",[]
100226,"
      Restoring Old Buildings for Contemporary Uses: An American Sourcebook for Architects and Preservationists
",William C. Shopsin,"
  4.00
","

  2
  ratings
","

    0
    reviews
",,Paperback,,208 pages,"
            Published
        August 1st 1989
         by Whitney Library of Design

            
              (first published May 1986)
            
",[]
100227,"
      Frank Applegate of Santa Fe
",Daria Labinsky,"
  0.00
","

  0
  ratings
","

    0
    reviews
","The extraordinarily talented Frank Applegate died prematurely at his Santa Fe home in 1931. Well-known in his day as an artist, collector, craft revivalist, and author, he is now largely forgotten. This splendid, readable biography should help make his name familiar once more. I give it an enthusiastic recommendation. The contemporary Hispanic artists of New Mexico -- especially the modern-day santeros -- owe a great deal to the visionary artist Frank Applegate. He helped to set the stage for the modern world to appreciate, collect, and love the religious art of my people. Carefully researched and elegantly written, this volume provides a well-rounded portrait of Frank Applegate, an artist who made significant contributions to the culture of Santa Fe in the 1920s. In telling Applegate's story, the authors provide a fascinating view of life in Santa Fe during that time. This book is lavishly illustrated with old photographs and pictures of Applegate's art work.",Paperback,,304 pages,"
            Published
        July 1st 2001
         by LPD Press

            
              (first published June 2001)
            
",[]
100228,"
      Reusing America's Schools: A Guide for Local Officials, Developers, Neighborhood Residents, Planners, and Preservationists
",Daniel Carlson,"
  0.00
","

  0
  ratings
","

    0
    reviews
",,Paperback,,68 pages,"
            Published
        September 1st 1991
         by Preservation Press

            
              (first published 1991)
            
",[]
100229,"
      The Complete Idiot's Guide to Improving Your Memory
",Michael Kurland,"
  3.78
","

  9
  ratings
","

    0
    reviews
","You're no idiot, of course. You know when it's payday, Christmas, and your own birthday without even checking a calendar. But when it comes to remembering where you've put the car keys you feel like your little gray cells have left the building. Don't draw a blank just yet! The Complete Idiot's Guide to Improving Your Memory is packed with practical techniques that can help you create a regimen for sharpening your memory. In this Complete Idiot's Guide, you get:",Paperback,,400 pages,"
            Published
        June 1st 1999
         by Alpha

      ",[]
100230,"
      The Complete Idiot's Guide to Scrapbook Projects Illustrated
",Allyson Bright Meyer,"
  3.80
","

  5
  ratings
","

    1
    review
","
All-new projects in the very first FULL COLOR Complete Idiot’s Guide® …
  Here’s a book that provides step-by-step instructions for creating scrapbooks that will be cherished for a long time to come. With hundreds of photographs and inspiring, step-by-step instructions, readers will learn how to make scrapbooks for vacations, holidays, baby’s first year, school days, sports games, tributes, and more. • Uniquely focused on a variety of projects and features hundreds of gorgeous four-color photos • A “Changing It Up” section is included with many projects—different ways to adapt for different themes • Each chapter/project includes an idea gallery with 8 to 10 sample scrapbook pages related to the projects’ theme",Paperback,,240 pages,"
            Published
        October 3rd 2006
         by Alpha

            
              (first published 2006)
            
",['Art']
100231,"
      The Complete Idiot's Guide to Knowledge Management
",Melissie Clemmons Rumizen,"
  3.44
","

  66
  ratings
","

    4
    reviews
","You’re no idiot, of course. You know that knowledge is power. However, teamwork is the key in today’s new corporate economy, and keeping things to yourself won’t benefit you or your company. But you don’t have to reinvent the wheel! The Complete Idiot’s Guide® to Knowledge Management will show you exactly how to share information among your peers to help your company achieve greater success! In this Complete Idiot’s Guide®, you get:    Basic knowledge management models and concepts.   Step-by-step instructions on implementing the concept within your company or group.   Strategies for knowledge sharing.   The fundamentals of trying a pilot program.   How information technology relates to knowledge management.   The importance of culture in the program.      ",Paperback,,315 pages,"
            Published
        August 9th 2001
         by ALPHA

      ","['Business', 'Nonfiction', 'Reference', 'Business']"
100232,"
      The Complete Idiot's Guide to Scrapbooking: CIG to Scrapbooking
",Wendy Smedley,"
  3.75
","

  36
  ratings
","

    3
    reviews
",,Paperback,,336 pages,"
            Published
        November 1st 1999
         by Alpha

            
              (first published 1999)
            
","['Nonfiction', 'Art']"
100233,"
      How To Win Friends and Influence People
",Dale Carnegie,"
  4.18
","

  468,767
  ratings
","

    11,950
    reviews
","You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 15 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.",Paperback,,0 pages,"
            Published
        July 20th 1970
         by Pocket

            
              (first published October 1936)
            
","['Nonfiction', 'Self', 'Business', 'Psychology', 'Self', 'Leadership', 'Classics', 'Language', 'Audiobook', 'Business']"
100234,"
      Five Little Monkeys Jumping on the Bed
",Eileen Christelow,"
  4.11
","

  27,580
  ratings
","

    695
    reviews
",,Paperback + CD,,32 pages,"
            Published
        April 17th 2006
         by Houghton Mifflin Harcourt

            
              (first published March 1st 1989)
            
","['Childrens', 'Childrens']"
